LEAGUE;DATE;TIME;HOME;AWAY;TIP 1;PROB1;USCITO1;TIP 2;PROB2;USCITO12;TIP 3;PROB3;USCITO13;TIP 4;PROB4;USCITO14
BRA1;15/01/2021;01:30:00;Palmeiras;Gremio;UN 1.5 HT;0.7335;x;;0;;;;;;;
BRA2;15/01/2021;21:30:00;Figueirense;Brasil de P.;UN 1.5 HT;0.7059; ;UN 2.5 FT;0.7059; ;;;;;;
BRA2;15/01/2021;01:30:00;America MG;Botafogo SP;UN 1.5 HT;0.7941;x;;0;;;;;;;
FRA1;15/01/2021;21:00:00;Montpellier;Monaco;OV 0.5 HT ;0.8444;x;;0;;;;;;;
GER1;15/01/2021;20:30:00;Union Berlin;Leverkusen;OV 0.5 HT ;0.875; ;;0;;;;;;;
GER2;15/01/2021;18:30:00;Wurzburger K.;Braunschweig;OV 0.5 HT ;0.8661; ;;0;;;;;;;
GER3;15/01/2021;19:00:00;Viktoria Koln;Turkgucu M.;OV 0.5 HT ;0.8333; ;;0;;;;;;;
ITA1;15/01/2021;20:45:00;Lazio;AS Roma;OV 0.5 HT ;0.875;x;GG FT;0.75; ;;;;;;
ITA2;15/01/2021;19:00:00;Chievo;Virtus Entella;UN 1.5 HT;0.7321;x;;0;;;;;;;
ITA2;15/01/2021;21:00:00;Vicenza;Frosinone;X HT;0.7143;x;UN 1.5 HT;0.7143;x;;;;;;
NED2;15/01/2021;20:00:00;Excelsior;FC Eindhoven;OV 0.5 HT ;0.7222;x;;0;;;;;;;
NED2;15/01/2021;20:00:00;FC Dordrecht;FC Volendam;OV 0.5 HT ;0.7222; ;;0;;;;;;;
NED2;15/01/2021;20:00:00;Go Ahead Eagles;MVV Maastricht;UN 1.5 HT;0.8444; ;NG FT;0.7444;x;;;;;;
NED2;15/01/2021;20:00:00;Helmond Sport;FC Den Bosch;OV 0.5 HT ;0.8333;x;;0;;;;;;;
NED2;15/01/2021;20:00:00;Jong AZ;Almere City;OV 0.5 HT ;0.8889;x;OV 1.5 HT;0.7222;x;GG FT;0.78;x;;;
NED2;15/01/2021;20:00:00;Roda JC;De Graafschap;OV 0.5 HT ;0.7222;x;;0;;;;;;;
POR1;15/01/2021;19:30:00;Sporting CP;Rio Ave;UN 1.5 HT;0.8333;x;;0;;;;;;;
POR1;15/01/2021;22:00:00;FC Porto;Benfica;OV 0.5 HT ;0.9167;x;;0;;;;;;;
SCO2;15/01/2021;20:45:00;Greenock Morton;Dunfermline;OV 0.5 HT ;0.9; ;UN 1.5 HT;0.9;x;;;;;;
TUR1;15/01/2021;17:00:00;Genclerbirligi;F. Karagumruk;OV 0.5 HT ;0.8125;x;GG FT;0.8125;x;;;;;;
BEL1;16/01/2021;16:15:00;Oostende;Kortrijk;UN 1.5 HT;0.7444;x;;0;;;;;;;
BEL1;16/01/2021;18:30:00;Beveren;Zulte-Waregem;OV 0.5 HT ;0.7222;x;;0;;;;;;;
BEL1;16/01/2021;20:45:00;Charleroi;KV Mechelen;OV 0.5 HT ;0.7222; ;UN 1.5 HT;0.7778;x;;;;;;
BRA1;16/01/2021;23:00:00;Fluminense;Sport Recife;OV 0.5 HT ;0.7143; ;;0;;;;;;;
BRA1;16/01/2021;01:00:00;Vasco da Gama;Coritiba;OV 0.5 HT ;0.7143;x;;0;;;;;;;
BRA2;16/01/2021;20:30:00;CSA;Avai;OV 0.5 HT ;0.7353; ;;0;;;;;;;
BRA2;16/01/2021;23:00:00;Juventude;Cruzeiro;UN 1.5 HT;0.7647;x;;0;;;;;;;
BRA2;16/01/2021;01:00:00;Oeste;Confianca;OV 0.5 HT ;0.7059;x;UN 1.5 HT;0.7059;x;;;;;;
GER1;16/01/2021;15:30:00;Dortmund;FSV Mainz;OV 0.5 HT ;0.7857; ;;0;;;;;;;
GER1;16/01/2021;15:30:00;FC Koln;Hertha Berlin;OV 0.5 HT ;0.7946; ;GG FT;0.7321; ;;;;;;
GER1;16/01/2021;15:30:00;Werder Bremen;FC Augsburg;OV 0.5 HT ;0.7143; ;;0;;;;;;;
GER1;16/01/2021;18:30:00;Stuttgart;Monchengladbach;OV 0.5 HT ;0.8571;x;GG FT;0.7857;x;;;;;;
GER2;16/01/2021;13:00:00;Erzgebirge Aue;Dusseldorf;OV 0.5 HT ;0.8571;x;;0;;;;;;;
GER2;16/01/2021;13:00:00;Hannover 96;Sankt Pauli;OV 0.5 HT ;0.7143;x;UN 1.5 HT;0.875; ;;;;;;
GER3;16/01/2021;14:00:00;Unterhaching;Magdeburg;X HT;0.7153; ;;0;;;;;;;
GER6;16/01/2021;14:00:00;Bonner SC;Lotte;OV 0.5 HT ;0.9; ;;0;;;;;;;
GER6;16/01/2021;14:00:00;Dusseldorf B;Straelen;OV 0.5 HT ;0.8091;x;;0;;;;;;;
GER6;16/01/2021;14:00:00;Fortuna Koln;Bergisch Gladb.;OV 0.5 HT ;0.8; ;UN 1.5 HT;0.7;x;;;;;;
GER6;16/01/2021;14:00:00;Lippstadt;Homberg;OV 0.5 HT ;0.7667;x;;0;;;;;;;
GER6;16/01/2021;14:00:00;Oberhausen;Wegberg-Beeck;UN 1.5 HT;0.7778; ;;0;;;;;;;
GER6;16/01/2021;14:00:00;Rot Weiss Ahlen;Wuppertaler;OV 0.5 HT ;0.8091; ;GG FT;0.7636; ;;;;;;
GER6;16/01/2021;14:00:00;Wiedenbruck;RW Essen;UN 1.5 HT;0.8045;x;;0;;;;;;;
GER7;16/01/2021;14:00:00;Astoria Walld.;Aalen;OV 0.5 HT ;0.7375;x;;0;;;;;;;
GER7;16/01/2021;14:00:00;FSV Frankfurt;FSV Mainz B;OV 0.5 HT ;0.7232;x;UN 1.5 HT;0.7411; ;;;;;;
GER7;16/01/2021;14:00:00;Giessen;Bayern Alzenau;OV 0.5 HT ;0.9444;x;GG FT;0.7778; ;;;;;;
GER7;16/01/2021;14:00:00;Hessen Kassel;Hoffenheim B;OV 0.5 HT ;0.75;x;UN 1.5 HT;0.75;x;;;;;;
GER7;16/01/2021;14:00:00;Schott Mainz;Steinbach;OV 0.5 HT ;0.875;x;;0;;;;;;;
GER7;16/01/2021;14:00:00;Stadtallendorf;Balingen;OV 0.5 HT ;0.75;x;;0;;;;;;;
GER7;16/01/2021;14:00:00;Ulm;Pirmasens;OV 0.5 HT ;0.7321; ;;0;;;;;;;
GER7;16/01/2021;14:00:00;VfB Stuttgart B;Freiburg B;OV 0.5 HT ;0.8036;x;;0;;;;;;;
ENG1;16/01/2021;13:30:00;Wolverhampton;West Brom;UN 2.5 FT;0.7083; ;;0;;;;;;;
ENG1;16/01/2021;16:00:00;Leeds Utd;Brighton;OV 0.5 HT ;0.8194;x;;0;;;;;;;
ENG1;16/01/2021;16:00:00;West Ham Utd;Burnley;UN 1.5 HT;0.8125;x;;0;;;;;;;
ENG1;16/01/2021;18:30:00;Fulham;Chelsea;OV 0.5 HT ;0.75; ;;0;;;;;;;
ENG1;16/01/2021;21:00:00;Leicester City;Southampton;OV 0.5 HT ;0.8125;x;;0;;;;;;;
ENG2;16/01/2021;13:30:00;Middlesbrough;Birmingham City;X HT;0.7045; ;UN 1.5 HT;0.7682;x;;;;;;
ENG2;16/01/2021;16:00:00;Blackburn;Stoke City;UN 1.5 HT;0.7727;x;;0;;;;;;;
ENG2;16/01/2021;16:00:00;Bournemouth;Luton Town;UN 1.5 HT;0.7727;x;UN 2.5 FT;0.7273;x;;;;;;
ENG2;16/01/2021;16:00:00;Bristol City;Preston;UN 1.5 HT;0.7727;x;;0;;;;;;;
ENG2;16/01/2021;16:00:00;Cardiff City;Norwich City;OV 0.5 HT ;0.8636;x;;0;;;;;;;
ENG2;16/01/2021;16:00:00;Derby County;Rotherham;UN 1.5 HT;0.7136;x;UN 2.5 FT;0.7545;x;;;;;;
ENG2;16/01/2021;16:00:00;Nottm Forest;Millwall;UN 1.5 HT;0.8182;x;;0;;;;;;;
ENG2;16/01/2021;16:00:00;Watford;Huddersfield;OV 0.5 HT ;0.7727; ;;0;;;;;;;
ENG2;16/01/2021;20:45:00;Barnsley;Swansea City;UN 1.5 HT;0.7273;x;;0;;;;;;;
ENG3;16/01/2021;16:00:00;Accrington;Gillingham;UN 1.5 HT;0.85;x;;0;;;;;;;
ENG3;16/01/2021;16:00:00;Burton Albion;Ipswich Town;GG FT;0.767; ;;0;;;;;;;
ENG3;16/01/2021;16:00:00;Fleetwood;Portsmouth;OV 0.5 HT ;0.7889;x;;0;;;;;;;
ENG3;16/01/2021;16:00:00;Hull City;Blackpool;OV 0.5 HT ;0.798; ;UN 1.5 HT;0.9091;x;UN 2.5 FT;0.71;x;;;
ENG3;16/01/2021;16:00:00;Peterborough;Milton Keynes;OV 0.5 HT ;0.7102;x;;0;;;;;;;
ENG3;16/01/2021;16:00:00;Plymouth;Crewe Alexandra;OV 0.5 HT ;0.7083;x;;0;;;;;;;
ENG3;16/01/2021;16:00:00;Rochdale;Wigan Athletic;OV 0.5 HT ;0.7;x;UN 1.5 HT;0.7; ;;;;;;
ENG3;16/01/2021;16:00:00;Swindon Town;Doncaster;OV 0.5 HT ;0.7841;x;;0;;;;;;;
ENG4;16/01/2021;16:00:00;Barrow;Scunthorpe;OV 0.5 HT ;0.8182; ;UN 1.5 HT;0.7273;x;;;;;;
ENG4;16/01/2021;16:00:00;Colchester Utd;Cambridge Utd;OV 0.5 HT ;0.85;x;;0;;;;;;;
ENG4;16/01/2021;16:00:00;Grimsby;Southend Utd;OV 0.5 HT ;0.7136; ;;0;;;;;;;
ENG4;16/01/2021;16:00:00;Leyton Orient;Morecambe;OV 0.5 HT ;0.7136; ;;0;;;;;;;
ENG4;16/01/2021;16:00:00;Stevenage;Tranmere;UN 1.5 HT;0.7182;x;NG FT;0.7136;x;;;;;;
FRA2;16/01/2021;15:00:00;Toulouse;Grenoble;UN 1.5 HT;0.75;x;;0;;;;;;;
FRA2;16/01/2021;15:00:00;Troyes;Sochaux;UN 1.5 HT;0.7222;x;UN 2.5 FT;0.7222; ;;;;;;
FRA2;16/01/2021;19:00:00;Ajaccio;Caen;UN 1.5 HT;0.8333;x;;0;;;;;;;
FRA2;16/01/2021;19:00:00;Amiens;Le Havre;UN 1.5 HT;0.85;x;;0;;;;;;;
FRA2;16/01/2021;19:00:00;Clermont;USL Dunkerque;UN 1.5 HT;0.7778; ;NG FT;0.7222;x;;;;;;
FRA2;16/01/2021;19:00:00;Guingamp;Nancy;UN 1.5 HT;0.8389;x;;0;;;;;;;
FRA2;16/01/2021;19:00:00;Rodez Aveyron;Pau FC;UN 1.5 HT;0.7;x;;0;;;;;;;
NED1;16/01/2021;16:30:00;FC Emmen;Vitesse Arnhem;OV 0.5 HT ;1;x;GG FT;0.75;x;;;;;;
NED1;16/01/2021;18:45:00;Sparta;PSV Eindhoven;OV 0.5 HT ;0.9375;x;GG FT;0.75;x;;;;;;
NED1;16/01/2021;20:00:00;PEC Zwolle;Fortuna Sittard;OV 0.5 HT ;0.75; ;UN 1.5 HT;0.75;x;;;;;;
NED1;16/01/2021;21:00:00;AZ Alkmaar;ADO Den Haag;OV 0.5 HT ;0.875; ;;0;;;;;;;
NED2;16/01/2021;14:00:00;TOP Oss;Telstar;UN 1.5 HT;0.7222; ;;0;;;;;;;
ITA1;16/01/2021;15:00:00;Bologna;Hellas Verona;OV 0.5 HT ;0.75;x;;0;;;;;;;
ITA1;16/01/2021;18:00:00;Torino;Spezia;GG FT;0.75; ;;0;;;;;;;
ITA1;16/01/2021;20:45:00;Sampdoria;Udinese;OV 0.5 HT ;0.875; ;GG FT;0.8125;x;;;;;;
ITA2;16/01/2021;14:00:00;Cittadella;Ascoli;UN 1.5 HT;0.7639;x;;0;;;;;;;
ITA2;16/01/2021;14:00:00;Monza;Cosenza;UN 1.5 HT;0.875; ;UN 2.5 FT;0.75; ;NG FT;0.75; ;;;
ITA2;16/01/2021;14:00:00;Pisa;Brescia;UN 1.5 HT;0.7946;x;GG FT;0.7321; ;;;;;;
ITA2;16/01/2021;16:00:00;Reggina;Lecce;OV 0.5 HT ;0.75;x;UN 1.5 HT;0.75;x;;;;;;
ITA3;16/01/2021;15:00:00;Lucchese;Renate;UN 1.5 HT;0.7222; ;;0;;;;;;;
ITA3;16/01/2021;20:45:00;Pistoiese;Giana Erminio;OV 0.5 HT ;0.7778; ;UN 1.5 HT;0.7222;x;;;;;;
ITA4;16/01/2021;15:00:00;Arezzo;Cesena;OV 0.5 HT ;0.7222;x;;0;;;;;;;
ITA4;16/01/2021;15:00:00;Fano;Gubbio;OV 0.5 HT ;0.7222; ;GG FT;0.7778;x;;;;;;
ITA4;16/01/2021;15:00:00;Fermana;Legnago Salus;UN 1.5 HT;0.8333; ;UN 2.5 FT;0.8333; ;;;;;;
ITA4;16/01/2021;15:00:00;Imolese;Matelica;OV 0.5 HT ;0.7778; ;UN 1.5 HT;0.7222;x;;;;;;
ITA4;16/01/2021;17:30:00;Mantova;Triestina;OV 0.5 HT ;0.7222; ;;0;;;;;;;
ITA5;16/01/2021;17:30:00;Avellino;Cavese;UN 1.5 HT;0.7153;x;;0;;;;;;;
ITA5;16/01/2021;20:45:00;Turris;Vibonese;UN 1.5 HT;0.8125;x;;0;;;;;;;
POR1;16/01/2021;16:30:00;Pacos Ferreira;Sporting Braga;OV 0.5 HT ;0.8452; ;;0;;;;;;;
POR1;16/01/2021;21:30:00;Tondela;Boavista;UN 1.5 HT;0.7857;x;UN 2.5 FT;0.7143; ;;;;;;
POR2;16/01/2021;12:00:00;Leixoes;Chaves;OV 0.5 HT ;0.7083;x;GG FT;0.7083; ;;;;;;
POR2;16/01/2021;17:00:00;Benfica B;Academica;UN 1.5 HT;0.7232;x;;0;;;;;;;
POR2;16/01/2021;18:00:00;Vizela;Penafiel;OV 0.5 HT ;0.7321;x;GG FT;0.8036;x;;;;;;
SCO1;16/01/2021;16:00:00;Hamilton;Dundee Utd;NG FT;0.7273;x;;0;;;;;;;
SCO1;16/01/2021;16:00:00;Hibernian;Kilmarnock;OV 0.5 HT ;0.7273; ;;0;;;;;;;
SCO1;16/01/2021;16:00:00;Ross County;Aberdeen;UN 1.5 HT;0.7525; ;NG FT;0.7071; ;;;;;;
SCO1;16/01/2021;16:00:00;St. Johnstone;St. Mirren;UN 1.5 HT;0.9091;x;UN 2.5 FT;0.7591;x;NG FT;0.76;x;;;
SCO2;16/01/2021;16:00:00;Alloa Athletic;Hearts;UN 1.5 HT;0.7083; ;;0;;;;;;;
SCO2;16/01/2021;16:00:00;Queen of South;Arbroath;OV 0.5 HT ;0.9; ;;0;;;;;;;
TUR1;16/01/2021;11:30:00;Konyaspor;Goztepe;UN 1.5 HT;0.8125; ;;0;;;;;;;
TUR1;16/01/2021;14:00:00;Basaksehir;Sivasspor;OV 0.5 HT ;0.8125;x;;0;;;;;;;
TUR1;16/01/2021;14:00:00;Gaziantep;Kayserispor;UN 1.5 HT;0.75;x;;0;;;;;;;
TUR1;16/01/2021;17:00:00;Antalyaspor;Trabzonspor;UN 1.5 HT;0.8333;x;UN 2.5 FT;0.7083;x;;;;;;
AUT1;17/01/2021;17:00:00;Wolfsberger AC;Sturm Graz;OV 0.5 HT ;0.7; ;GG FT;0.7; ;;;;;;
BEL1;17/01/2021;13:30:00;Gent;Antwerp;OV 0.5 HT ;0.85; ;;0;;;;;;;
BEL1;17/01/2021;18:15:00;Beerschot-Wil.;Club Brugge;OV 0.5 HT ;0.9;x;;0;;;;;;;
BEL1;17/01/2021;20:45:00;Sint-Truiden;OH Leuven;OV 0.5 HT ;0.7889;x;GG FT;0.7444;x;;;;;;
BRA1;17/01/2021;20:00:00;Santos;Botafogo;OV 0.5 HT ;0.75;x;GG FT;0.75;x;;;;;;
BRA1;17/01/2021;22:15:00;Atletico MG;Atletico GO;UN 1.5 HT;0.75;;;0;;;;;;;
BRA1;17/01/2021;00:30:00;Ceara;Bragantino;UN 1.5 HT;0.8214;x;;0;;;;;;;
BRA1;17/01/2021;00:30:00;Internacional;Fortaleza;OV 0.5 HT ;0.7857;x;UN 1.5 HT;0.7143; ;;;;;;
BRA2;17/01/2021;20:00:00;Ponte Preta;Nautico;UN 1.5 HT;0.7647; ;;0;;;;;;;
SUI1;17/01/2021;16:00:00;Sion;Lugano;UN 1.5 HT;0.8333;x;;0;;;;;;;
GER1;17/01/2021;15:30:00;Bayern Munich;Freiburg;OV 0.5 HT ;0.8571;x;;0;;;;;;;
GER1;17/01/2021;18:00:00;E. Frankfurt;Schalke 04;OV 0.5 HT ;0.7857;x;GG FT;0.7143;x;;;;;;
GER2;17/01/2021;13:30:00;Heidenheim;Darmstadt;UN 1.5 HT;0.75;x;;0;;;;;;;
GER2;17/01/2021;13:30:00;Holstein Kiel;Karlsruher SC;OV 0.5 HT ;0.875;x;;0;;;;;;;
GER3;17/01/2021;13:00:00;KFC Uerdingen;Mannheim;UN 1.5 HT;0.7639;x;UN 2.5 FT;0.7708;x;NG FT;0.7083; ;;;
GER3;17/01/2021;14:00:00;MSV Duisburg;Meppen;UN 1.5 HT;0.8264;x;;0;;;;;;;
GER6;17/01/2021;15:00:00;Dortmund B;Alemannia A.;UN 1.5 HT;0.7013; ;;0;;;;;;;
GER7;17/01/2021;14:00:00;VfB Stuttgart B;Freiburg B;OV 0.5 HT ;0.8036;x;;0;;;;;;;
ENG1;17/01/2021;15:00:00;Sheffield Utd;Tottenham;UN 2.5 FT;0.7014; ;;0;;;;;;;
ENG1;17/01/2021;17:30:00;Liverpool;Manchester Utd;OV 0.5 HT ;0.9375; ;OV 1.5 HT;0.75; ;GG FT;0.8125; ;;;
ENG1;17/01/2021;20:15:00;Manchester City;Crystal Palace;OV 0.5 HT ;0.8889;x;;0;;;;;;;
FRA1;17/01/2021;13:00:00;Brest;Rennes;OV 0.5 HT ;0.9444;x;;0;;;;;;;
FRA1;17/01/2021;15:00:00;Nantes;Lens;OV 0.5 HT ;0.8889;x;;0;;;;;;;
FRA1;17/01/2021;15:00:00;Nice;Bordeaux;OV 0.5 HT ;0.8333; ;;0;;;;;;;
FRA1;17/01/2021;15:00:00;Strasbourg;Saint-Etienne;OV 0.5 HT ;0.8389;x;;0;;;;;;;
FRA1;17/01/2021;17:00:00;Lille;Reims;OV 0.5 HT ;0.8;x;;0;;;;;;;
NED1;17/01/2021;14:30:00;FC Groningen;FC Twente;UN 1.5 HT;0.7232; ;;0;;;;;;;
NED1;17/01/2021;14:30:00;VVV;Heerenveen;OV 0.5 HT ;0.875; ;GG FT;0.8125;x;;;;;;
NED1;17/01/2021;16:45:00;Ajax Amsterdam;Feyenoord;OV 0.5 HT ;0.875;x;;0;;;;;;;
NED2;17/01/2021;12:15:00;NEC Nijmegen;Cambuur;OV 0.5 HT ;0.8333; ;;0;;;;;;;
ITA1;17/01/2021;12:30:00;Napoli;Fiorentina;OV 0.5 HT ;0.75;x;UN 1.5 HT;0.75; ;;;;;;
ITA1;17/01/2021;15:00:00;Crotone;Benevento;OV 0.5 HT ;0.875;x;;0;;;;;;;
ITA1;17/01/2021;15:00:00;Sassuolo;Parma;OV 0.5 HT ;0.75;x;;0;;;;;;;
ITA1;17/01/2021;18:00:00;Atalanta;Genoa;UN 1.5 HT;0.75;x;;0;;;;;;;
ITA1;17/01/2021;20:45:00;Inter Milan;Juventus;OV 0.5 HT ;0.75;x;GG FT;0.875; ;;;;;;
ITA2;17/01/2021;15:00:00;Pescara;Cremonese;OV 0.5 HT ;0.8264; ;;0;;;;;;;
ITA3;17/01/2021;12:30:00;Juventus U23;Piacenza;UN 1.5 HT;0.7222; ;;0;;;;;;;
ITA3;17/01/2021;12:30:00;Olbia;Grosseto;UN 1.5 HT;0.8333; ;UN 2.5 FT;0.7222; ;;;;;;
ITA3;17/01/2021;15:00:00;AlbinoLeffe;Lecco;UN 1.5 HT;0.8333;x;UN 2.5 FT;0.7222;x;;;;;;
ITA3;17/01/2021;15:00:00;Pro Sesto;Livorno;UN 1.5 HT;0.9444;x;UN 2.5 FT;0.8333;x;NG FT;0.7222;;;;
ITA3;17/01/2021;15:00:00;Pro Vercelli;Carrarese;OV 0.5 HT ;0.7083;x;UN 1.5 HT;0.7083; ;;;;;;
ITA4;17/01/2021;15:00:00;Sambenedettese;Padova;OV 0.5 HT ;0.7014;x;UN 1.5 HT;0.7083;x;;;;;;
ITA4;17/01/2021;15:00:00;Sudtirol;Vis Pesaro;OV 0.5 HT ;0.7083; ;;0;;;;;;;
ITA4;17/01/2021;17:30:00;Carpi;Ravenna;OV 0.5 HT ;0.7569;x;UN 1.5 HT;0.7083;x;;;;;;
ITA4;17/01/2021;17:30:00;Modena;Virtus Verona;OV 0.5 HT ;0.7708; ;UN 1.5 HT;0.8264;x;;;;;;
ITA5;17/01/2021;12:30:00;Palermo;V. Francavilla;UN 1.5 HT;0.7639;x;;0;;;;;;;
ITA5;17/01/2021;15:00:00;Catania;Foggia;OV 0.5 HT ;0.7708;x;UN 1.5 HT;0.7153; ;;;;;;
ITA5;17/01/2021;15:00:00;Monopoli;Catanzaro;X HT;0.7014;x;;0;;;;;;;
ITA5;17/01/2021;17:30:00;Bisceglie;Bari;OV 0.5 HT ;0.7302; ;UN 1.5 HT;0.746;x;;;;;;
ITA5;17/01/2021;17:30:00;Juve Stabia;Ternana;OV 0.5 HT ;0.8125;x;;0;;;;;;;
ITA5;17/01/2021;17:30:00;Paganese;Casertana;OV 0.5 HT ;0.75;x;;0;;;;;;;
ITA5;17/01/2021;17:30:00;Viterbese;Teramo;UN 1.5 HT;0.746;x;;0;;;;;;;
POR1;17/01/2021;16:00:00;Nacional;Moreirense;UN 1.5 HT;0.7738;x;;0;;;;;;;
POR1;17/01/2021;18:30:00;Santa Clara;Famalicao;UN 1.5 HT;0.75;x;;0;;;;;;;
POR1;17/01/2021;21:00:00;Gil Vicente;Maritimo;UN 1.5 HT;0.7857;x;;0;;;;;;;
POR2;17/01/2021;12:15:00;Feirense;FC Porto B;OV 0.5 HT ;0.7411; ;;0;;;;;;;
POR2;17/01/2021;18:00:00;Varzim;Casa Pia;UN 1.5 HT;0.7411;x;;0;;;;;;;
SCO1;17/01/2021;13:00:00;Motherwell;Rangers;OV 0.5 HT ;0.7765;x;;0;;;;;;;
TUR1;17/01/2021;14:00:00;Y. Malatyaspor;Rizespor;OV 0.5 HT ;0.9375;x;;0;;;;;;;
TUR1;17/01/2021;17:00:00;Besiktas;Galatasaray;OV 0.5 HT ;0.8125; ;UN 1.5 HT;0.75;x;;;;;;
BRA1;18/01/2021;23:00:00;Palmeiras;Corinthians;OV 0.5 HT ;0.7143;x;;;;;;;;;
BRA1;18/01/2021;00:00:00;Goias;Flamengo;OV 0.5 HT ;0.739;x;UN 1.5 HT;0.7005;x;;;;;;
GER2;18/01/2021;20:30:00;Hamburger SV;Osnabruck;OV 0.5 HT ;0.8125;x;;;;;;;;;
GER3;18/01/2021;19:00:00;1860 Munchen;FC Ingolstadt;OV 0.5 HT ;0.7778; ;;;;;;;;;
ENG1;18/01/2021;21:00:00;Arsenal;Newcastle Utd;UN 1.5 HT;0.7708;x;;;;;;;;;
NED2;18/01/2021;18:45:00;Jong Utrecht;Jong Ajax;OV 0.5 HT ;1;x;;;;;;;;;
NED2;18/01/2021;21:00:00;Jong PSV;NAC Breda;OV 0.5 HT ;0.7778;x;;;;;;;;;
ITA1;18/01/2021;20:45:00;Cagliari;AC Milan;OV 0.5 HT ;0.875;x;UN 1.5 HT;0.75;x;GG FT;0.75; ;;;
POR1;18/01/2021;21:15:00;Portimonense;Belenenses;UN 1.5 HT;0.9167;x;UN 2.5 FT;0.9167;x;NG FT;0.8333;x;;;
POR2;18/01/2021;19:00:00;Estoril;Covilha;UN 1.5 HT;0.7083;x;;;;;;;;;
TUR1;18/01/2021;17:00:00;Kasimpasa;Erzurum BB;OV 0.5 HT ;0.8264;x;;;;;;;;;
BEL1;19/01/2021;18:45;Mouscron;Beveren;OV 0.5 HT ;0.85; ;UN 1.5 HT;0.8136;x;;;;;;
BRA2;19/01/2021;20:00;Brasil de P.;America MG;UN 1.5 HT;0.7941;x;UN 2.5 FT;0.7353;x;;;;;;
BRA2;19/01/2021;23:15;Avai;Juventude;UN 1.5 HT;0.7059; ;;0;;;;;;;
BRA2;19/01/2021;23:15;Botafogo SP;CSA;OV 0.5 HT ;0.7353;x;UN 1.5 HT;0.7353;x;;;;;;
BRA2;19/01/2021;23:15;Confianca;Sampaio Correa;OV 0.5 HT ;0.7059; ;UN 1.5 HT;0.7353;x;;;;;;
BRA2;19/01/2021;23:15;CRB;Figueirense;UN 1.5 HT;0.8235; ;;0;;;;;;;
BRA2;19/01/2021;01:30;Parana;Cuiaba;UN 1.5 HT;0.7941;x;UN 2.5 FT;0.7059;x;;;;;;
GER1;19/01/2021;18:30;Monchengladbach;Werder Bremen;GG FT;0.8125; ;;0;;;;;;;
GER1;19/01/2021;20:30;FSV Mainz;Wolfsburg;OV 0.5 HT ;0.75; ;;0;;;;;;;
GER1;19/01/2021;20:30;Hertha Berlin;Hoffenheim;OV 0.5 HT ;0.9286;x;GG FT;0.7232; ;;;;;;
GER1;19/01/2021;20:30;Leverkusen;Dortmund;GG FT;0.7411;x;;0;;;;;;;
GER3;19/01/2021;19:00;Verl;Zwickau;GG FT;0.8056;x;;0;;;;;;;
GER7;19/01/2021;19:00;Aalen;Pirmasens;UN 1.5 HT;0.875;x;;0;;;;;;;
GER7;19/01/2021;19:00;Bayern Alzenau;VfB Stuttgart B;OV 0.5 HT ;0.8571;x;;0;;;;;;;
GER7;19/01/2021;19:00;FSV Mainz B;Astoria Walld.;OV 0.5 HT ;0.7778;x;UN 1.5 HT;0.7778; ;;;;;;
GER7;19/01/2021;19:00;Hoffenheim B;Homburg;UN 1.5 HT;0.75;x;;0;;;;;;;
ENG1;19/01/2021;19:00;West Ham Utd;West Brom;OV 0.5 HT ;0.8333;x;UN 1.5 HT;0.7222;x;;;;;;
ENG1;19/01/2021;21:15;Leicester City;Chelsea;OV 0.5 HT ;0.7778;x;;0;;;;;;;
ENG2;19/01/2021;19:00;Derby County;Bournemouth;UN 2.5 FT;0.75;x;;0;;;;;;;
ENG2;19/01/2021;20:45;Rotherham;Stoke City;UN 1.5 HT;0.7167; ;;0;;;;;;;
ENG2;19/01/2021;20:45;Watford;Barnsley;OV 0.5 HT ;0.7841;x;;0;;;;;;;
ENG3;19/01/2021;18:30;Hull City;Accrington;OV 0.5 HT ;0.7389;x;UN 1.5 HT;0.7778;x;;;;;;
ENG3;19/01/2021;19:30;Peterborough;Charlton;OV 0.5 HT ;0.7361;x;;0;;;;;;;
ENG3;19/01/2021;20:00;Doncaster;Rochdale;OV 0.5 HT ;0.7;x;GG FT;0.7; ;;;;;;
ENG3;19/01/2021;20:00;Milton Keynes;Fleetwood;UN 1.5 HT;0.8; ;;0;;;;;;;
ENG3;19/01/2021;20:00;Portsmouth;AFC Wimbledon;OV 0.5 HT ;0.7091;x;;0;;;;;;;
ENG3;19/01/2021;20:00;Sunderland;Plymouth;OV 0.5 HT ;0.8444;x;;0;;;;;;;
ENG4;19/01/2021;20:00;Cheltenham;Newport;OV 0.5 HT ;0.8182;x;UN 1.5 HT;0.7727; ;;;;;;
ENG4;19/01/2021;20:00;Morecambe;Walsall;OV 0.5 HT ;0.85;x;GG FT;0.7;x;;;;;;
ENG4;19/01/2021;20:00;Southend Utd;Cambridge Utd;OV 0.5 HT ;0.7727;x;;0;;;;;;;
ESP1;19/01/2021;19:00;Cadiz;Levante;UN 1.5 HT;0.7778; ;;0;;;;;;;
ESP1;19/01/2021;19:00;Valladolid;Elche;OV 0.5 HT ;0.7619;x;UN 1.5 HT;0.7619; ;;;;;;
ESP1;19/01/2021;21:30;Alaves;FC Sevilla;UN 1.5 HT;0.8264; ;UN 2.5 FT;0.7083; ;;;;;;
