Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BEL1,Cercle Brugge,Zulte-Waregem,1,3,A,0,2,A
BEL1,Standard Liege,Eupen,2,2,D,1,1,D
BEL1,Beveren,Cercle Brugge,0,2,A,0,1,A
BEL1,Oostende,Antwerp,1,1,D,0,0,D
BEL1,Club Brugge,Kortrijk,1,0,H,0,0,D
BEL1,Beerschot-Wil.,Anderlecht,2,1,H,1,0,H
BEL1,Zulte-Waregem,KV Mechelen,1,2,A,0,1,A
BEL1,Charleroi,Gent,0,1,A,0,1,A
BEL1,KRC Genk,Mouscron,4,1,H,1,1,D
BEL1,OH Leuven,Sint-Truiden,2,2,D,1,1,D
BEL1,Beveren,Oostende,2,0,H,0,0,D
BEL1,Cercle Brugge,Mouscron,1,2,A,0,0,D
BEL1,Eupen,Charleroi,3,1,H,1,0,H
BEL1,Sint-Truiden,Beveren,1,1,D,1,0,H
BEL1,Cercle Brugge,KRC Genk,1,5,A,0,4,A
BEL1,Mouscron,Club Brugge,0,0,D,0,0,D
BEL1,KV Mechelen,Beerschot-Wil.,2,3,A,2,1,H
BEL1,Gent,Zulte-Waregem,0,3,A,0,2,A
BEL1,Anderlecht,Standard Liege,0,0,D,0,0,D
BEL1,Kortrijk,Oostende,3,1,H,1,1,D
BEL1,Antwerp,OH Leuven,3,2,H,2,2,D
BEL1,Mouscron,Sint-Truiden,3,2,H,1,0,H
BEL1,Charleroi,Beveren,0,2,A,0,1,A
BEL1,Eupen,KV Mechelen,1,1,D,1,0,H
BEL1,Zulte-Waregem,Anderlecht,2,2,D,1,1,D
BEL1,Beveren,Mouscron,2,0,H,0,0,D
BEL1,OH Leuven,Cercle Brugge,2,1,H,1,0,H
BEL1,Club Brugge,Sint-Truiden,1,0,H,0,0,D
BEL1,KRC Genk,Antwerp,4,2,H,2,1,H
BEL1,Beerschot-Wil.,Eupen,0,1,A,0,1,A
BEL1,Standard Liege,KV Mechelen,2,2,D,1,0,H
BEL1,Oostende,Gent,2,1,H,0,1,A
BEL1,Charleroi,Kortrijk,0,0,D,0,0,D
BEL1,OH Leuven,Mouscron,2,0,H,0,0,D
BEL1,Anderlecht,KRC Genk,1,0,H,0,0,D
BEL1,Mouscron,Beerschot-Wil.,3,1,H,1,0,H
BEL1,Cercle Brugge,Oostende,0,1,A,0,1,A
BEL1,Kortrijk,OH Leuven,0,3,A,0,0,D
BEL1,Sint-Truiden,Charleroi,1,2,A,1,1,D
BEL1,Antwerp,Club Brugge,0,2,A,0,1,A
BEL1,Gent,Standard Liege,2,1,H,1,1,D
BEL1,KV Mechelen,Beveren,2,3,A,1,0,H
BEL1,Cercle Brugge,Charleroi,3,4,A,2,0,H
BEL1,Mouscron,OH Leuven,2,2,D,0,1,A
BEL1,Anderlecht,Oostende,2,1,H,1,0,H
BEL1,Antwerp,Zulte-Waregem,0,1,A,0,1,A
BEL1,Gent,Beveren,3,0,H,1,0,H
BEL1,Kortrijk,Standard Liege,2,1,H,2,0,H
BEL1,KV Mechelen,Club Brugge,0,3,A,0,0,D
BEL1,Charleroi,Anderlecht,1,0,H,0,0,D
BEL1,Zulte-Waregem,Sint-Truiden,0,2,A,0,0,D
BEL1,KRC Genk,Kortrijk,2,0,H,1,0,H
BEL1,Club Brugge,Gent,0,1,A,0,0,D
BEL1,OH Leuven,KV Mechelen,1,2,A,0,2,A
BEL1,Standard Liege,Mouscron,0,1,A,0,1,A
BEL1,Beveren,Antwerp,0,3,A,0,3,A
BEL1,Club Brugge,Eupen,3,0,H,0,0,D
BEL1,Zulte-Waregem,Cercle Brugge,1,0,H,0,0,D
BEL1,Kortrijk,Gent,1,0,H,0,0,D
BEL1,OH Leuven,Oostende,1,2,A,1,0,H
BEL1,Standard Liege,Sint-Truiden,1,2,A,0,2,A
BEL1,Antwerp,Charleroi,2,1,H,0,0,D
BEL1,KRC Genk,Beveren,1,1,D,1,1,D
BEL1,Anderlecht,Beerschot-Wil.,2,0,H,1,0,H
BEL1,KV Mechelen,Mouscron,2,1,H,1,0,H
BEL1,Eupen,Zulte-Waregem,2,3,A,1,0,H
BEL1,Sint-Truiden,Beerschot-Wil.,1,0,H,1,0,H
BEL1,Eupen,KRC Genk,1,4,A,1,2,A
BEL1,Zulte-Waregem,Mouscron,1,0,H,1,0,H
BEL1,Cercle Brugge,Eupen,1,2,A,0,0,D
BEL1,Kortrijk,KRC Genk,2,1,H,1,1,D
