Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ITA1,Fiorentina,Sassuolo,1,1,D,1,1,D
ITA1,Genoa,AC Milan,2,2,D,0,0,D
ITA1,Hellas Verona,Sampdoria,1,2,A,0,1,A
ITA1,Inter Milan,Napoli,1,0,H,0,0,D
ITA1,Parma,Cagliari,0,0,D,0,0,D
ITA1,Spezia,Bologna,2,2,D,1,0,H
ITA1,AS Roma,Torino,3,1,H,2,0,H
ITA1,Fiorentina,Hellas Verona,1,1,D,1,1,D
ITA1,Sampdoria,Crotone,3,1,H,2,1,H
ITA1,Parma,Juventus,0,4,A,0,2,A
ITA1,Torino,Bologna,1,1,D,0,0,D
ITA1,Benevento,Genoa,2,0,H,0,0,D
ITA1,Cagliari,Udinese,1,1,D,1,0,H
ITA1,Inter Milan,Spezia,2,1,H,0,0,D
ITA1,Sassuolo,AC Milan,1,2,A,0,2,A
ITA1,Atalanta,AS Roma,4,1,H,0,1,A
ITA1,Lazio,Napoli,2,0,H,1,0,H
ITA1,Crotone,Parma,2,1,H,2,0,H
ITA1,Juventus,Fiorentina,0,3,A,0,1,A
ITA1,Hellas Verona,Inter Milan,1,2,A,0,0,D
ITA1,AC Milan,Lazio,3,2,H,2,1,H
ITA1,AS Roma,Cagliari,3,2,H,1,0,H
ITA1,Bologna,Atalanta,2,2,D,0,2,A
ITA1,Napoli,Torino,1,1,D,0,0,D
ITA1,Sampdoria,Sassuolo,2,3,A,0,1,A
ITA1,Spezia,Genoa,1,2,A,1,1,D
ITA1,Udinese,Benevento,0,2,A,0,1,A
ITA1,Inter Milan,Crotone,6,2,H,2,2,D
ITA1,AS Roma,Sampdoria,1,0,H,0,0,D
ITA1,Atalanta,Sassuolo,5,1,H,2,0,H
ITA1,Cagliari,Napoli,1,4,A,0,1,A
ITA1,Fiorentina,Bologna,0,0,D,0,0,D
ITA1,Genoa,Lazio,1,1,D,0,1,A
ITA1,Parma,Torino,0,3,A,0,1,A
ITA1,Spezia,Hellas Verona,0,1,A,0,0,D
ITA1,Benevento,AC Milan,0,2,A,0,1,A
ITA1,Juventus,Udinese,4,1,H,1,0,H
ITA1,Cagliari,Benevento,1,2,A,1,2,A
ITA1,Atalanta,Parma,3,0,H,1,0,H
ITA1,Bologna,Udinese,2,2,D,2,1,H
ITA1,Crotone,AS Roma,1,3,A,0,3,A
ITA1,Lazio,Fiorentina,2,1,H,1,0,H
ITA1,Sampdoria,Inter Milan,2,1,H,2,0,H
ITA1,Sassuolo,Genoa,2,1,H,0,0,D
ITA1,Torino,Hellas Verona,1,1,D,0,0,D
ITA1,Napoli,Spezia,1,2,A,0,0,D
ITA1,AC Milan,Juventus,1,3,A,1,1,D
ITA1,Benevento,Atalanta,1,4,A,0,1,A
ITA1,Genoa,Bologna,2,0,H,1,0,H
ITA1,AC Milan,Torino,2,0,H,2,0,H
ITA1,AS Roma,Inter Milan,2,2,D,1,0,H
ITA1,Hellas Verona,Crotone,2,1,H,2,0,H
ITA1,Parma,Lazio,0,2,A,0,0,D
ITA1,Udinese,Napoli,1,2,A,1,1,D
ITA1,Fiorentina,Cagliari,1,0,H,0,0,D
ITA1,Juventus,Sassuolo,3,1,H,0,0,D
ITA1,Spezia,Sampdoria,2,1,H,1,1,D
ITA1,Lazio,AS Roma,3,0,H,2,0,H
ITA1,Bologna,Hellas Verona,1,0,H,1,0,H
ITA1,Torino,Spezia,0,0,D,0,0,D
ITA1,Sampdoria,Udinese,2,1,H,0,0,D
ITA1,Napoli,Fiorentina,6,0,H,4,0,H
ITA1,Crotone,Benevento,4,1,H,2,0,H
ITA1,Sassuolo,Parma,1,1,D,0,1,A
ITA1,Atalanta,Genoa,0,0,D,0,0,D
ITA1,Inter Milan,Juventus,2,0,H,1,0,H
ITA1,Cagliari,AC Milan,0,2,A,0,1,A
ITA1,Udinese,Atalanta,1,1,D,1,1,D
ITA1,Benevento,Torino,2,2,D,1,0,H
ITA1,AS Roma,Spezia,4,3,H,1,1,D
ITA1,AC Milan,Atalanta,0,3,A,0,1,A
ITA1,Udinese,Inter Milan,0,0,D,0,0,D
ITA1,Fiorentina,Crotone,2,1,H,2,0,H
ITA1,Juventus,Bologna,2,0,H,1,0,H
ITA1,Genoa,Cagliari,1,0,H,1,0,H
ITA1,Hellas Verona,Napoli,3,1,H,1,1,D
ITA1,Lazio,Sassuolo,2,1,H,1,1,D
ITA1,Parma,Sampdoria,0,2,A,0,2,A
ITA1,Torino,Fiorentina,1,1,D,0,0,D
ITA1,Bologna,AC Milan,1,2,A,0,1,A
ITA1,Sampdoria,Juventus,0,2,A,0,1,A
ITA1,Inter Milan,Benevento,4,0,H,1,0,H
ITA1,Spezia,Udinese,0,1,A,0,0,D
ITA1,Atalanta,Lazio,1,3,A,0,1,A
ITA1,Cagliari,Sassuolo,1,1,D,0,0,D
ITA1,Crotone,Genoa,0,3,A,0,2,A
ITA1,Napoli,Parma,2,0,H,1,0,H
ITA1,AS Roma,Hellas Verona,3,1,H,3,0,H
ITA1,Fiorentina,Inter Milan,0,2,A,0,1,A
ITA1,Atalanta,Torino,3,3,D,3,2,H
ITA1,Sassuolo,Spezia,1,2,A,1,1,D
ITA1,Juventus,AS Roma,2,0,H,1,0,H
ITA1,Genoa,Napoli,2,1,H,2,0,H
ITA1,Benevento,Sampdoria,1,1,D,0,0,D
ITA1,AC Milan,Crotone,4,0,H,1,0,H
ITA1,Udinese,Hellas Verona,2,0,H,0,0,D
ITA1,Parma,Bologna,0,3,A,0,2,A
ITA1,Lazio,Cagliari,1,0,H,0,0,D
ITA1,Bologna,Benevento,1,1,D,1,0,H
